song_name,artist_name,lyrics,estilo,song_url,album,release_date,track_name,duration_ms,popularity,normalized_song_name,normalized_artist_name,release_year,lyrics_processed,num_versos,len_lyrics
Candombito,Kevin Johansen,"Los acordes y el bajo siguen en casi toda la canción, la melodía no<br>la excepción es la parte que es así...",bal,https://acordes.lacuerda.net/kevin_johansen/candombito,Sur o No Sur,2003-11-04 00:00:00,Candombito,274040.0,28.0,candombito,kevin johansen,2003.0,"Los acordes y el bajo siguen en casi toda la canción, la melodía no<br>la excepción es la parte que es así...",1,109
Everything Is Falling Into Place,Kevin Johansen,Do (8vo),bal,https://acordes.lacuerda.net/kevin_johansen/everything_is_falling_into_place,City Zen,2004-11-23 00:00:00,Everything Is (Falling Into Place),211226.0,23.0,everything is falling into place,kevin johansen,2004.0,Do (8vo),0,8
Regresa,Nocturnos,"que vuelvas pronto, aqui ami lado<br>No puedo vivir sin ti<br>quiero que vuelvas pronto mi amor.<br>Amor !!!  porque me dejas.<br>Regresa ...regresa a mi.",bal,https://acordes.lacuerda.net/nocturnos/regresa,,,,,,regresa,nocturnos,,"que vuelvas pronto, aqui ami lado<br>No puedo vivir sin ti<br>quiero que vuelvas pronto mi amor.<br>Amor !!!  porque me dejas.<br>Regresa ...regresa a mi.",4,154
Y Ahora Mi Cancion Va,Marilina Ross,"Quiero decirles que los quiero mucho<br>que ustedes ya,se me metieron muy adentro<br>donde no existen palabras<br>donde todo es sentimiento<br>Así de cortita es esta canción!!!",can,https://acordes.lacuerda.net/marilina_ross/y_ahora_mi_cancion_va,,,,,,y ahora mi cancion va,marilina ross,,"Quiero decirles que los quiero mucho<br>que ustedes ya,se me metieron muy adentro<br>donde no existen palabras<br>donde todo es sentimiento<br>Así de cortita es esta canción!!!",4,176
Oracion Del Remanso,Nahuel Pennisi,"Aquí comenzaría la segunda estrofa, ya con rasguido.<br>Acordes en transcripcion aparte :)<br>Por cualquier consulta me pueden escribir a joaquinencinas@outlook.com<br>Buena suerte. Joaco.",can,https://acordes.lacuerda.net/nahuel_pennisi/oracion_del_remanso,Primavera,2015-12-11 00:00:00,Oración del Remanso,310520.0,39.0,oracion del remanso,nahuel pennisi,2015.0,"Aquí comenzaría la segunda estrofa, ya con rasguido.<br>Acordes en transcripcion aparte :)<br>Por cualquier consulta me pueden escribir a joaquinencinas@outlook.com<br>Buena suerte. Joaco.",3,188
Forever En Los Suenios,Sr Rulli,"Voy a verte siempre<br>Forever, en los sueños<br>En el corazón de la mente<br>En este lugar",can,https://acordes.lacuerda.net/sr_rulli/forever_en_los_suenios,,,,,,forever en los suenios,sr rulli,,"Voy a verte siempre<br>Forever, en los sueños<br>En el corazón de la mente<br>En este lugar",3,91
Me Goce,Alejandro Alonso,"Me gocé con los que decían<br>""Iremos a la casa del Señor""<br>Estaremos dentro de tus puertas<br>¡Oh Jerusalén!",pop,https://acordes.lacuerda.net/alejandro_alonso/me_goce,Tu Santidad Me Envuelve,1994-01-01 00:00:00,Me Gocé,169880.0,16.0,me goce,alejandro alonso,1994.0,"Me gocé con los que decían<br>""Iremos a la casa del Señor""<br>Estaremos dentro de tus puertas<br>¡Oh Jerusalén!",3,111
Mas Barato,Limando,"Es más barato,<br>es más barato<br>Es más barato,<br>Es más barato el vino malo es más barato<br>https://play.spotify.com/track/1j8yBLqsE55RUYbDcf7NJC",pop,https://acordes.lacuerda.net/limando/mas_barato,Toti Toti,2012-05-04 00:00:00,Más Barato,118982.0,11.0,mas barato,limando,2012.0,"Es más barato,<br>es más barato<br>Es más barato,<br>Es más barato el vino malo es más barato<br>https://play.spotify.com/track/1j8yBLqsE55RUYbDcf7NJC",4,150
Ven Conmigo,Rey De Reyes,"Ven conmigo hoy, ven conmigo hoy<br>nunca es tarde, no es tan tarde, no es tarde para ti<br>Yo tengo un plan para ti, tengo un plan para ti<br>sera mucho mas, sera lo mejor, seras lleno de mi<br>Abre el corazón y déjame entrar/////",rel,https://acordes.lacuerda.net/rey_de_reyes/ven_conmigo,Despertar,2013-05-07 00:00:00,Ven Conmigo,200280.0,15.0,ven conmigo,rey de reyes,2013.0,"Ven conmigo hoy, ven conmigo hoy<br>nunca es tarde, no es tan tarde, no es tarde para ti<br>Yo tengo un plan para ti, tengo un plan para ti<br>sera mucho mas, sera lo mejor, seras lleno de mi<br>Abre el corazón y déjame entrar/////",4,231
Abba Padre,Toma Tu Lugar,"Soy tu hijo, Abba Padre, tú eres suficiente para mí,<br>Camino de tu mano y confío en ti, tú eres mi principio y mi fin.<br>Soy tu hijo, Abba Padre, tú eres suficiente para mí,<br>Camino de tu mano y confío en ti, tú eres mi principio y mi fin.",rel,https://acordes.lacuerda.net/toma_tu_lugar/abba_padre,,,,,,abba padre,toma tu lugar,,"Soy tu hijo, Abba Padre, tú eres suficiente para mí,<br>Camino de tu mano y confío en ti, tú eres mi principio y mi fin.<br>Soy tu hijo, Abba Padre, tú eres suficiente para mí,<br>Camino de tu mano y confío en ti, tú eres mi principio y mi fin.",3,244
